epoch,train_acc,valid_acc
0,0.23490,0.32114
1,0.32403,0.37130
2,0.38486,0.41432
3,0.40911,0.44584
4,0.42108,0.47771
5,0.44917,0.49965
6,0.46998,0.51898
7,0.48901,0.52595
8,0.49902,0.53048
9,0.51239,0.56130
10,0.52275,0.55643
11,0.53316,0.56252
12,0.53647,0.57158
13,0.54252,0.58116
14,0.54718,0.59056
15,0.55449,0.59422
16,0.55932,0.58638
17,0.56120,0.59265
18,0.57043,0.60240
19,0.57191,0.60380
20,0.57509,0.59875
21,0.58018,0.61338
22,0.58166,0.62052
23,0.58919,0.62975
24,0.59050,0.62957
25,0.59246,0.62139
26,0.60034,0.62417
27,0.60604,0.62870
28,0.60940,0.63079
29,0.61192,0.63898
30,0.61262,0.62226
31,0.61867,0.64159
32,0.62255,0.64159
33,0.61937,0.63723
34,0.62603,0.62905
35,0.62716,0.64072
36,0.62868,0.64037
37,0.63273,0.64681
38,0.63661,0.64716
39,0.63839,0.64020
40,0.63927,0.64159
41,0.64362,0.65691
42,0.64597,0.65761
43,0.64828,0.65500
44,0.64850,0.63166
45,0.65429,0.64751
46,0.65703,0.65935
47,0.65581,0.65064
48,0.65995,0.65221
49,0.65729,0.65813
