epoch,train_acc,valid_acc
0,0.32002,0.42564
1,0.43349,0.46569
2,0.47625,0.50575
3,0.50011,0.53518
4,0.52741,0.53344
5,0.54718,0.55886
6,0.56607,0.55799
7,0.57844,0.57994
8,0.58828,0.57994
9,0.60530,0.60362
10,0.61153,0.62034
11,0.62659,0.61303
12,0.63378,0.61390
13,0.64514,0.61790
14,0.65533,0.62156
15,0.66147,0.62156
16,0.66748,0.62452
17,0.67754,0.62365
18,0.68533,0.62835
19,0.69500,0.63636
20,0.69596,0.63166
21,0.70658,0.62696
22,0.71385,0.64281
23,0.71942,0.63271
24,0.72822,0.63863
25,0.73318,0.61843
26,0.74285,0.64141
27,0.74964,0.65256
28,0.75465,0.64768
29,0.76453,0.64612
30,0.76793,0.64020
31,0.77446,0.64263
32,0.78156,0.64350
33,0.78783,0.64995
34,0.79349,0.64403
35,0.79923,0.64890
36,0.80777,0.64490
37,0.81243,0.65674
38,0.81569,0.64681
39,0.82423,0.65813
40,0.82727,0.64873
41,0.83485,0.65778
42,0.83633,0.64403
43,0.84068,0.64350
44,0.84765,0.64977
45,0.85349,0.65796
46,0.85984,0.65343
47,0.86407,0.64943
48,0.86559,0.63288
49,0.87112,0.65204
