epoch,train_acc,valid_acc
0,0.29381,0.39377
1,0.40323,0.47266
2,0.45539,0.51480
3,0.49184,0.53448
4,0.50708,0.54963
5,0.52597,0.56513
6,0.54300,0.57837
7,0.56124,0.56635
8,0.56664,0.58865
9,0.57448,0.54633
10,0.58397,0.59909
11,0.59472,0.59370
12,0.60086,0.58934
13,0.60217,0.61843
14,0.61340,0.61599
15,0.62272,0.62539
16,0.62720,0.60902
17,0.63064,0.63218
18,0.63800,0.62452
19,0.64536,0.63654
20,0.64588,0.63758
21,0.65211,0.63758
22,0.65829,0.63044
23,0.66343,0.63201
24,0.66461,0.64124
25,0.67401,0.64890
26,0.67371,0.64159
27,0.67806,0.63706
28,0.68568,0.64298
29,0.68903,0.64472
30,0.69508,0.64159
31,0.69683,0.65204
32,0.70640,0.65482
33,0.70897,0.64020
34,0.71024,0.65482
35,0.71315,0.66249
36,0.71803,0.64525
37,0.72195,0.64803
38,0.72535,0.65326
39,0.73492,0.65204
40,0.73519,0.65273
41,0.73841,0.65744
42,0.74516,0.65987
43,0.74799,0.65186
44,0.75408,0.65883
45,0.75247,0.66510
46,0.76283,0.64995
47,0.76405,0.65761
48,0.76736,0.64890
49,0.77085,0.65674
50,0.77468,0.65378
51,0.77981,0.65831
52,0.78491,0.65987
53,0.78574,0.66057
54,0.79214,0.66353
55,0.79305,0.65030
56,0.79262,0.66301
57,0.79606,0.65169
58,0.80154,0.66667
59,0.80489,0.65395
