id,label
0,305
1,883
2,243
3,559
4,438
5,990
6,949
7,853
8,609
9,582
10,915
11,539
12,446
13,961
14,630
15,497
16,455
17,707
18,854
19,922
20,129
21,537
22,672
23,476
24,299
25,99
26,476
27,251
28,520
29,923
30,760
31,582
32,460
33,74
34,464
35,478
36,400
37,961
38,865
39,324
40,34
41,922
42,142
43,312
44,302
45,582
46,948
47,360
48,918
49,737
50,746
51,764
52,949
53,886
54,523
55,900
56,733
57,327
58,883
59,882
60,920
61,839
62,951
63,555
64,539
65,510
66,888
67,990
68,430
69,396
70,97
71,74
72,140
73,362
74,705
75,659
76,640
77,967
78,489
79,937
80,991
81,887
82,603
83,327
84,498
85,879
86,807
87,708
88,967
89,472
90,82
91,556
92,971
93,805
94,719
95,854
96,471
97,839
98,572
99,883
100,476
101,461
102,603
103,967
104,311
105,873
106,858
107,16
108,672
109,724
110,489
111,685
112,366
113,746
114,599
115,912
116,950
117,614
118,348
119,353
120,21
121,84
122,682
123,946
124,746
125,646
126,567
127,469
128,759
129,80
130,734
131,951
132,51
133,288
134,897
135,416
136,544
137,415
138,814
139,295
140,829
141,759
142,971
143,904
144,637
145,471
146,94
147,984
148,594
149,863
150,394
151,383
152,701
153,442
154,38
155,975
156,716
157,99
158,546
159,137
160,980
161,517
162,326
163,765
164,632
165,595
166,754
167,768
168,873
169,829
170,455
171,442
172,734
173,439
174,685
175,521
176,640
177,663
178,720
179,759
180,535
181,582
182,607
183,859
184,532
185,113
186,695
187,565
188,718
189,322
190,8
191,385
192,570
193,480
194,324
195,897
196,738
197,435
198,253
199,817
