epoch,train_acc,valid_acc
0,0.21400,0.25235 * best *
1,0.24152,0.25200 
2,0.24148,0.25322 * best *
3,0.24644,0.25618 * best *
4,0.24766,0.25462 
5,0.25537,0.26071 * best *
6,0.25876,0.27447 * best *
7,0.27100,0.28683 * best *
8,0.27910,0.29415 * best *
9,0.28637,0.30878 * best *
10,0.29573,0.31557 * best *
11,0.30722,0.32428 * best *
12,0.30788,0.32724 * best *
13,0.31336,0.34274 * best *
14,0.31763,0.33838 
15,0.32477,0.34866 * best *
16,0.33148,0.35824 * best *
17,0.33261,0.36973 * best *
18,0.33883,0.35980 
19,0.34846,0.36416 
20,0.35011,0.37339 * best *
21,0.35899,0.38384 * best *
22,0.36069,0.38297 
23,0.36753,0.39673 * best *
24,0.36535,0.39394 
25,0.37663,0.38488 
26,0.38142,0.40021 * best *
27,0.38216,0.41797 * best *
28,0.38986,0.40735 
29,0.39352,0.40961 
30,0.39256,0.42616 * best *
31,0.39570,0.43208 * best *
32,0.40280,0.42407 
33,0.40549,0.42355 
34,0.40454,0.41432 
35,0.40558,0.43730 * best *
36,0.40815,0.43539 
37,0.41346,0.43574 
38,0.41442,0.43957 * best *
39,0.41747,0.43783 
40,0.41864,0.44305 * best *
41,0.42082,0.44340 * best *
42,0.42413,0.45298 * best *
43,0.42574,0.45263 
44,0.42600,0.45019 
45,0.43236,0.45559 * best *
46,0.43123,0.45455 
47,0.43589,0.46587 * best *
48,0.43297,0.46029 
49,0.43837,0.45489 
50,0.43859,0.46395 
51,0.44268,0.46360 
52,0.44494,0.47335 * best *
53,0.44277,0.47388 * best *
54,0.44499,0.46378 
55,0.45091,0.47423 * best *
56,0.44965,0.47893 * best *
57,0.45544,0.47301 
58,0.45443,0.47527 
59,0.45565,0.48276 * best *
60,0.46044,0.48346 * best *
61,0.46049,0.47544 
62,0.45818,0.47544 
63,0.45753,0.47597 
64,0.46218,0.49007 * best *
65,0.46615,0.48781 
66,0.46201,0.48450 
67,0.46610,0.48555 
68,0.47020,0.47840 
69,0.46549,0.48189 
70,0.46554,0.49077 * best *
71,0.47368,0.48676 
72,0.46785,0.48154 
73,0.46924,0.48868 
74,0.47425,0.49599 * best *
75,0.47259,0.49983 * best *
76,0.47041,0.49617 
77,0.47307,0.49687 
78,0.47856,0.49843 
79,0.47311,0.49460 
