epoch,train_acc,valid_acc
0,0.24413,0.25165 * best *
1,0.25140,0.25549 * best *
2,0.25162,0.25409 
3,0.25354,0.25566 * best *
4,0.26468,0.28440 * best *
5,0.28114,0.30895 * best *
6,0.29769,0.32759 * best *
7,0.31402,0.34709 * best *
8,0.32960,0.36015 * best *
9,0.35390,0.37583 * best *
10,0.36761,0.39829 * best *
11,0.38137,0.27534 
12,0.39165,0.40195 * best *
13,0.40258,0.42442 * best *
14,0.41246,0.42337 
15,0.41821,0.43887 * best *
16,0.42622,0.36329 
17,0.44107,0.48224 * best *
18,0.45047,0.48990 * best *
19,0.45474,0.47771 
20,0.46336,0.49321 * best *
21,0.46867,0.48885 
22,0.47176,0.52560 * best *
23,0.48126,0.51097 
24,0.47764,0.50610 
25,0.49057,0.51271 
26,0.49114,0.52194 
27,0.49105,0.51951 
28,0.49732,0.50749 
29,0.49811,0.53431 * best *
30,0.50577,0.51376 
31,0.50664,0.48258 
32,0.50699,0.54162 * best *
33,0.50869,0.54319 * best *
34,0.51178,0.53292 
35,0.51374,0.54702 * best *
36,0.51800,0.53239 
37,0.51578,0.55312 * best *
38,0.52110,0.54302 
39,0.52253,0.55974 * best *
40,0.52510,0.55103 
41,0.52780,0.55068 
42,0.52750,0.55573 
43,0.52959,0.55765 
44,0.52732,0.54685 
45,0.53198,0.55869 
46,0.53707,0.55364 
47,0.53320,0.56914 * best *
48,0.53991,0.54720 
49,0.53786,0.53953 
50,0.54186,0.56061 
51,0.53860,0.56740 
52,0.54391,0.56705 
53,0.54378,0.57262 * best *
54,0.54474,0.57454 * best *
55,0.55053,0.58499 * best *
56,0.54330,0.58342 
57,0.54970,0.57994 
58,0.54857,0.57837 
59,0.55079,0.59387 * best *
60,0.55162,0.57837 
61,0.55597,0.58464 
62,0.55584,0.58499 
63,0.55580,0.58865 
64,0.55558,0.59108 
65,0.55562,0.58847 
66,0.56233,0.59039 
67,0.55610,0.59073 
68,0.55841,0.59091 
69,0.56276,0.59491 * best *
70,0.56372,0.58046 
71,0.56159,0.57889 
72,0.56329,0.58934 
73,0.56651,0.58760 
74,0.56620,0.58046 
75,0.56703,0.59126 
76,0.56616,0.58203 
77,0.56903,0.59352 
78,0.56847,0.59613 * best *
79,0.57082,0.59230 
