without rotation & scaling
=================
epoch,train_acc,valid_acc
0,0.23455,0.25148 * best *
1,0.25693,0.27447 * best *
2,0.27666,0.30024 * best *
3,0.30465,0.33316 * best *
4,0.32908,0.36033 * best *
5,0.34950,0.36764 * best *
6,0.36622,0.38018 * best *
7,0.37915,0.37182 
8,0.39313,0.41588 * best *
9,0.40136,0.41728 * best *
10,0.40806,0.36747 
11,0.41786,0.41850 * best *
12,0.43449,0.43939 * best *
13,0.43715,0.44253 * best *
14,0.44690,0.44845 * best *
15,0.45513,0.46639 * best *
16,0.45909,0.38175 
17,0.46532,0.47266 * best *
18,0.47268,0.47492 * best *
19,0.47555,0.48363 * best *
20,0.47790,0.49164 * best *
21,0.48365,0.44044 
22,0.48992,0.41101 
23,0.49062,0.46499 
24,0.49737,0.50819 * best *
25,0.50459,0.43069 
26,0.50355,0.51167 * best *
27,0.50947,0.50505 
28,0.51056,0.49617 
29,0.52018,0.52351 * best *
30,0.51813,0.50749 
31,0.52179,0.52438 * best *
32,0.52623,0.52891 * best *
33,0.52715,0.54127 * best *
34,0.52924,0.47962 
35,0.53094,0.52438 
36,0.53516,0.51672 
37,0.53747,0.43452 
38,0.53869,0.53901 
39,0.53712,0.52961 
40,0.54382,0.54441 * best *
41,0.54395,0.55695 * best *
42,0.55075,0.55486 
43,0.55366,0.53466 
44,0.55231,0.55660 
45,0.54992,0.55434 
46,0.55628,0.54929 
47,0.56080,0.55294 
48,0.55697,0.56566 * best *
49,0.56207,0.56618 * best *
50,0.55723,0.56043 
51,0.56020,0.55974 
52,0.56507,0.56183 
53,0.56468,0.55869 
54,0.56429,0.54963 
55,0.56895,0.55852 
56,0.56977,0.57036 * best *
57,0.56660,0.56078 
58,0.56768,0.57227 * best *
59,0.57030,0.57645 * best *
60,0.57273,0.56740 
61,0.57787,0.57193 
62,0.57774,0.55625 
63,0.57509,0.56043 
64,0.57961,0.57558 
65,0.57674,0.57227 
66,0.57892,0.56270 
67,0.58201,0.54911 
68,0.58136,0.57332 
69,0.58183,0.58412 * best *
70,0.58240,0.58359 
71,0.58601,0.58743 * best *
72,0.58445,0.57140 
73,0.58854,0.57140 
74,0.58588,0.57106 
75,0.58693,0.57820 
76,0.58989,0.58325 
77,0.59237,0.58290 
78,0.58758,0.57680 
79,0.59159,0.57872 
