Parameter num: 50339
=================
epoch,train_acc,valid_acc
0,0.24204,0.22553 * best *
1,0.24570,0.25374 * best *
2,0.26216,0.27360 * best *
3,0.27570,0.27882 * best *
4,0.28937,0.27847 
5,0.31571,0.32375 * best *
6,0.33548,0.33090 * best *
7,0.34410,0.33142 * best *
8,0.36361,0.38349 * best *
9,0.38142,0.38157 
10,0.39766,0.43121 * best *
11,0.42017,0.42041 
12,0.43475,0.42703 
13,0.44925,0.47962 * best *
14,0.46188,0.47997 * best *
15,0.47020,0.49443 * best *
16,0.47847,0.50209 * best *
17,0.48957,0.51463 * best *
18,0.49188,0.51654 * best *
19,0.50311,0.50731 
20,0.50912,0.52438 * best *
21,0.50930,0.52647 * best *
22,0.51522,0.53065 * best *
23,0.51853,0.54633 * best *
24,0.52336,0.52125 
25,0.52893,0.54093 
26,0.53033,0.53953 
27,0.53211,0.53518 
28,0.53947,0.52560 
29,0.54260,0.55085 * best *
30,0.53999,0.54458 
31,0.54469,0.54807 
32,0.54661,0.53570 
33,0.54874,0.56235 * best *
34,0.55266,0.56426 * best *
35,0.55488,0.57193 * best *
36,0.55462,0.55956 
37,0.55776,0.55921 
38,0.55937,0.55921 
39,0.56747,0.56548 
40,0.56215,0.57471 * best *
41,0.56377,0.57959 * best *
42,0.56851,0.55956 
43,0.57038,0.56688 
44,0.57060,0.58342 * best *
45,0.57173,0.58168 
46,0.57169,0.57889 
47,0.57548,0.58011 
48,0.57718,0.58656 * best *
49,0.57278,0.56200 
50,0.58027,0.58656 
51,0.57609,0.57611 
52,0.57892,0.58412 
53,0.58197,0.57001 
54,0.58449,0.58272 
55,0.58667,0.57593 
56,0.58719,0.59073 * best *
57,0.58750,0.58290 
58,0.58536,0.58725 
59,0.59059,0.58656 
60,0.59002,0.58690 
61,0.59259,0.57698 
62,0.59233,0.59021 
63,0.59181,0.58551 
64,0.59150,0.59770 * best *
65,0.59372,0.58969 
66,0.59677,0.58307 
67,0.59651,0.59387 
68,0.59385,0.58934 
69,0.60165,0.57628 
70,0.60221,0.58690 
71,0.60574,0.59683 
72,0.60008,0.60014 * best *
73,0.60143,0.59317 
74,0.60839,0.58812 
75,0.60395,0.58743 
76,0.60687,0.59143 
77,0.60752,0.58865 
78,0.60670,0.59596 
79,0.60826,0.59770 
