parameter num: 106791
=================
epoch,train_acc,valid_acc
0,0.25654,0.29467 * best *
1,0.31062,0.34169 * best *
2,0.35386,0.39882 * best *
3,0.39435,0.41519 * best *
4,0.41307,0.42703 * best *
5,0.43785,0.46796 * best *
6,0.46188,0.49060 * best *
7,0.47838,0.51045 * best *
8,0.49306,0.52438 * best *
9,0.50351,0.52821 * best *
10,0.51883,0.53048 * best *
11,0.52275,0.54354 * best *
12,0.53381,0.54336 
13,0.54082,0.55120 * best *
14,0.54387,0.55730 * best *
15,0.55105,0.55329 
16,0.55623,0.55695 
17,0.56046,0.54215 
18,0.56786,0.56148 * best *
19,0.57156,0.56409 * best *
20,0.57491,0.57767 * best *
21,0.57787,0.58412 * best *
22,0.58284,0.58307 
23,0.58693,0.58272 
24,0.58732,0.57802 
25,0.58754,0.58499 * best *
26,0.59607,0.58812 * best *
27,0.60112,0.59039 * best *
28,0.60021,0.60484 * best *
29,0.59938,0.59666 
30,0.60735,0.60502 * best *
31,0.60630,0.59648 
32,0.60500,0.58568 
33,0.61031,0.60815 * best *
34,0.61353,0.59317 
35,0.61506,0.59666 
36,0.61950,0.61425 * best *
37,0.62159,0.60467 
38,0.62320,0.60327 
39,0.62429,0.61982 * best *
40,0.62877,0.60763 
41,0.62742,0.60954 
42,0.63143,0.61599 
43,0.63360,0.59875 
44,0.63273,0.61825 
45,0.63583,0.61250 
46,0.63500,0.61442 
47,0.63970,0.62173 * best *
48,0.63979,0.62313 * best *
49,0.64214,0.61372 
50,0.63953,0.61982 
51,0.64358,0.61372 
52,0.64519,0.62679 * best *
53,0.64419,0.61494 
54,0.64793,0.61755 
55,0.65237,0.61494 
56,0.65194,0.61581 
57,0.65346,0.62208 
58,0.65707,0.62435 
59,0.65246,0.62609 
60,0.65472,0.62382 
61,0.65977,0.61181 
62,0.65829,0.61982 
63,0.66073,0.62191 
64,0.66199,0.62173 
65,0.66404,0.62208 
66,0.66643,0.61721 
67,0.66626,0.62348 
68,0.66400,0.62574 
69,0.67040,0.62713 * best *
70,0.66713,0.63236 * best *
71,0.66826,0.62766 
72,0.67157,0.63009 
73,0.67349,0.63131 
74,0.67336,0.63602 * best *
75,0.67453,0.63044 
76,0.67536,0.62539 
77,0.67784,0.63410 
78,0.67941,0.62435 
79,0.68089,0.63497 
