epoch,train_acc,valid_acc
0,0.24196,0.25200 * best *
1,0.24966,0.25409 * best *
2,0.25097,0.25723 * best *
3,0.26242,0.27517 * best *
4,0.27870,0.29206 * best *
5,0.29377,0.30825 * best *
6,0.30666,0.31992 * best *
7,0.31989,0.34117 * best *
8,0.34140,0.36242 * best *
9,0.35743,0.34814 
10,0.36966,0.39446 * best *
11,0.37941,0.40787 * best *
12,0.39579,0.41919 * best *
13,0.40654,0.42442 * best *
14,0.41542,0.43887 * best *
15,0.42457,0.39986 
16,0.43201,0.46256 * best *
17,0.44264,0.47074 * best *
18,0.44734,0.47179 * best *
19,0.45517,0.47736 * best *
20,0.46323,0.49390 * best *
21,0.47076,0.50209 * best *
22,0.47364,0.50610 * best *
23,0.47560,0.50662 * best *
24,0.48213,0.51115 * best *
25,0.48618,0.51968 * best *
26,0.48827,0.51132 
27,0.49824,0.51724 
28,0.49972,0.53553 * best *
29,0.50128,0.52839 
30,0.50712,0.53866 * best *
31,0.50808,0.52856 
32,0.51239,0.54040 * best *
33,0.51670,0.54981 * best *
34,0.51966,0.54807 
35,0.52036,0.54389 
36,0.52488,0.54998 * best *
37,0.52454,0.55556 * best *
38,0.52663,0.54807 
39,0.52745,0.53866 
40,0.53394,0.56409 * best *
41,0.53407,0.55120 
42,0.53694,0.57680 * best *
43,0.53816,0.55817 
44,0.54186,0.56339 
45,0.54361,0.55329 
46,0.54665,0.57297 
47,0.54617,0.57419 
48,0.54966,0.57245 
49,0.54983,0.57820 * best *
50,0.55384,0.56078 
51,0.55149,0.57802 
52,0.55410,0.57820 
53,0.55993,0.58046 * best *
54,0.55776,0.57628 
55,0.56080,0.58342 * best *
56,0.56420,0.58534 * best *
57,0.55889,0.58812 * best *
58,0.56324,0.56722 
59,0.56690,0.58447 
60,0.56546,0.57924 
61,0.56838,0.58150 
62,0.56790,0.58394 
63,0.56768,0.58986 * best *
64,0.57169,0.58952 
65,0.56812,0.59039 * best *
66,0.57199,0.58185 
67,0.57443,0.59666 * best *
68,0.57539,0.57663 
69,0.57761,0.59073 
70,0.57535,0.58812 
71,0.57600,0.58447 
72,0.57883,0.58865 
73,0.58001,0.59300 
74,0.58031,0.58795 
75,0.58253,0.58447 
76,0.58362,0.59526 
77,0.58427,0.59021 
78,0.58928,0.59387 
79,0.58371,0.58586 
