parameter num: 63511
=================
epoch,train_acc,valid_acc
0,0.24357,0.25148 * best *
1,0.25924,0.28405 * best *
2,0.28267,0.30460 * best *
3,0.30270,0.34256 * best *
4,0.32133,0.35249 * best *
5,0.33082,0.37426 * best *
6,0.34828,0.38645 * best *
7,0.36091,0.37861 
8,0.37314,0.39202 * best *
9,0.37406,0.41170 * best *
10,0.38285,0.41153 
11,0.38938,0.42999 * best *
12,0.39609,0.41954 
13,0.39848,0.43556 * best *
14,0.41264,0.45385 * best *
15,0.42309,0.45785 * best *
16,0.42722,0.46360 * best *
17,0.42718,0.46151 
18,0.43536,0.47684 * best *
19,0.44089,0.48485 * best *
20,0.44324,0.49774 * best *
21,0.45361,0.49843 * best *
22,0.45539,0.48032 
23,0.46554,0.50435 * best *
24,0.46815,0.51498 * best *
25,0.47560,0.51062 
26,0.47664,0.51184 
27,0.48139,0.51533 * best *
28,0.48282,0.52595 * best *
29,0.49140,0.52769 * best *
30,0.49349,0.52874 * best *
31,0.49358,0.53344 * best *
32,0.49676,0.53710 * best *
33,0.50250,0.54023 * best *
34,0.50020,0.53918 
35,0.50512,0.54946 * best *
36,0.50551,0.54772 
37,0.51378,0.54807 
38,0.51369,0.54493 
39,0.50764,0.53762 
40,0.51300,0.54702 
41,0.50938,0.54319 
42,0.51935,0.55190 * best *
43,0.52118,0.55120 
44,0.51696,0.55103 
45,0.51979,0.56600 * best *
46,0.52380,0.56008 
47,0.52619,0.55921 
48,0.52723,0.55886 
49,0.52223,0.55573 
50,0.52893,0.56148 
51,0.53525,0.56496 
52,0.52767,0.56409 
53,0.53168,0.57367 * best *
54,0.53873,0.56322 
55,0.53795,0.55782 
56,0.54082,0.57541 * best *
57,0.54147,0.57245 
58,0.53964,0.57576 * best *
59,0.54038,0.56008 
60,0.54287,0.57941 * best *
61,0.54361,0.57210 
62,0.54443,0.57611 
63,0.53782,0.57471 
64,0.54570,0.58220 * best *
65,0.54291,0.57976 
66,0.54879,0.58899 * best *
67,0.55070,0.56966 
68,0.54944,0.58133 
69,0.54957,0.56809 
70,0.55062,0.56931 
71,0.55205,0.59335 * best *
72,0.55162,0.58656 
73,0.55179,0.57611 
74,0.55571,0.59021 
75,0.55545,0.59091 
76,0.55406,0.59230 
77,0.55632,0.58952 
78,0.55310,0.59178 
79,0.55837,0.59091 
