parameter num: 38087
=================
epoch,train_acc,valid_acc
0,0.25254,0.27778 * best *
1,0.28719,0.30442 * best *
2,0.32747,0.35162 * best *
3,0.35695,0.36904 * best *
4,0.38342,0.40648 * best *
5,0.40763,0.43312 * best *
6,0.42792,0.44479 * best *
7,0.44882,0.47823 * best *
8,0.46924,0.50209 * best *
9,0.48073,0.49843 
10,0.49262,0.51794 * best *
11,0.50799,0.51968 * best *
12,0.51382,0.53901 * best *
13,0.52597,0.53710 
14,0.52584,0.54023 * best *
15,0.53324,0.55277 * best *
16,0.53385,0.55364 * best *
17,0.54639,0.56426 * best *
18,0.54866,0.55712 
19,0.55258,0.57036 * best *
20,0.55702,0.56322 
21,0.56054,0.56200 
22,0.56124,0.58046 * best *
23,0.56677,0.56984 
24,0.56990,0.58377 * best *
25,0.57626,0.57628 
26,0.57186,0.58673 * best *
27,0.57761,0.58777 * best *
28,0.58249,0.58847 * best *
29,0.58201,0.58481 
30,0.58632,0.58882 * best *
31,0.58967,0.57889 
32,0.59050,0.59282 * best *
33,0.59350,0.59195 
34,0.59202,0.59021 
35,0.59403,0.59857 * best *
36,0.59681,0.60031 * best *
37,0.59363,0.59666 
38,0.60391,0.60136 * best *
39,0.60578,0.60449 * best *
40,0.60757,0.60014 
41,0.60587,0.59962 
42,0.60848,0.60310 
43,0.60848,0.60920 * best *
44,0.61214,0.61546 * best *
45,0.61214,0.61477 
46,0.61366,0.60780 
47,0.61327,0.60676 
48,0.61506,0.60920 
49,0.61392,0.60502 
50,0.61898,0.61216 
51,0.61671,0.61303 
52,0.62459,0.61477 
53,0.62102,0.60589 
54,0.61954,0.60780 
55,0.62403,0.61094 
56,0.62546,0.61233 
57,0.62268,0.62191 * best *
58,0.62799,0.60850 
59,0.62424,0.62069 
60,0.62851,0.61512 
61,0.62773,0.62661 * best *
62,0.62903,0.62470 
63,0.62633,0.62574 
64,0.62921,0.61459 
65,0.63064,0.61111 
66,0.63130,0.61895 
67,0.63469,0.61546 
68,0.62982,0.62243 
69,0.63757,0.61285 
70,0.63765,0.61912 
71,0.63848,0.61338 
72,0.63826,0.61581 
73,0.63674,0.62226 
74,0.64379,0.60920 
75,0.64514,0.62191 
76,0.64279,0.62034 
77,0.64501,0.62400 
78,0.64375,0.61303 
79,0.64088,0.61877 
