Info: 
Parameter number: 353559
=================
epoch,train_acc,valid_acc
0,0.33918,0.33386 * best *
1,0.45143,0.50070 * best *
2,0.48657,0.52281 * best *
3,0.50882,0.52891 * best *
4,0.53072,0.53466 * best *
5,0.55022,0.55921 * best *
6,0.55123,0.56026 * best *
7,0.56620,0.57576 * best *
8,0.57143,0.57018 
9,0.57840,0.59039 * best *
10,0.58436,0.58551 
11,0.59202,0.59718 * best *
12,0.59242,0.58534 
13,0.59350,0.58534 
14,0.59947,0.60502 * best *
15,0.60700,0.60118 
16,0.61153,0.60589 * best *
17,0.61271,0.60467 
18,0.61689,0.61686 * best *
19,0.61967,0.61041 
20,0.62372,0.61982 * best *
21,0.62376,0.60623 
22,0.62664,0.62139 * best *
23,0.63112,0.60658 
24,0.63160,0.61442 
25,0.63352,0.61721 
26,0.64053,0.61338 
27,0.63535,0.60832 
28,0.64310,0.62626 * best *
29,0.64327,0.62591 
30,0.64584,0.62278 
31,0.65028,0.61860 
32,0.65359,0.62957 * best *
33,0.65368,0.61268 
34,0.65877,0.62766 
35,0.65585,0.62905 
36,0.66130,0.63671 * best *
37,0.65751,0.63218 
38,0.66347,0.62574 
39,0.66861,0.62748 
