Info: 
Parameter number: 245319
=================
epoch,train_acc,valid_acc
0,0.36770,0.45106 * best *
1,0.47673,0.51567 * best *
2,0.51160,0.53448 * best *
3,0.54069,0.56897 * best *
4,0.55488,0.57245 * best *
5,0.56838,0.57193 
6,0.57496,0.55242 
7,0.58784,0.58934 * best *
8,0.58963,0.60362 * best *
9,0.60191,0.60449 * best *
10,0.60731,0.58098 
11,0.60974,0.57645 
12,0.61697,0.60658 * best *
13,0.62046,0.61111 * best *
14,0.62072,0.61912 * best *
15,0.62725,0.63009 * best *
16,0.62977,0.62696 
17,0.63138,0.63044 * best *
18,0.63783,0.61999 
19,0.64423,0.62557 
20,0.64593,0.61999 
21,0.64662,0.63584 * best *
22,0.65002,0.62661 
23,0.65054,0.62348 
24,0.65842,0.62731 
25,0.65594,0.63549 
26,0.66130,0.62591 
27,0.66104,0.64350 * best *
28,0.66757,0.63776 
29,0.67344,0.63532 
30,0.67227,0.63932 
31,0.67466,0.64594 * best *
32,0.67806,0.63079 
33,0.67976,0.63880 
34,0.68011,0.64263 
35,0.68311,0.64194 
36,0.68699,0.64612 * best *
37,0.68777,0.64699 * best *
38,0.69312,0.64838 * best *
39,0.69582,0.63079 
