Info: 
Parameter number: 92663
=================
epoch,train_acc,valid_acc
0,0.36505,0.44288 * best *
1,0.47729,0.50226 * best *
2,0.51291,0.53257 * best *
3,0.53498,0.54389 * best *
4,0.55057,0.56008 * best *
5,0.56734,0.58081 * best *
6,0.57139,0.58812 * best *
7,0.57874,0.59073 * best *
8,0.59019,0.57941 
9,0.59394,0.60850 * best *
10,0.60317,0.60153 
11,0.60482,0.60206 
12,0.60970,0.59178 
13,0.61601,0.61721 * best *
14,0.61932,0.61686 
15,0.62337,0.61233 
16,0.62712,0.61407 
17,0.62372,0.61512 
18,0.63117,0.62156 * best *
19,0.63482,0.62365 * best *
20,0.63643,0.62348 
21,0.64005,0.61755 
22,0.64105,0.61529 
23,0.64440,0.62574 * best *
24,0.64989,0.62713 * best *
25,0.64754,0.62800 * best *
26,0.65180,0.62417 
27,0.65538,0.62835 * best *
28,0.65873,0.62975 * best *
29,0.66047,0.63131 * best *
30,0.66169,0.63741 * best *
31,0.66369,0.63410 
32,0.66034,0.64020 * best *
33,0.66495,0.63236 
34,0.66504,0.63723 
35,0.66987,0.61930 
36,0.67027,0.64437 * best *
37,0.66905,0.62661 
38,0.67122,0.63967 
39,0.67758,0.63096 
