Info: 
Parameter number: 40791
=================
epoch,train_acc,valid_acc
0,0.33875,0.44584 * best *
1,0.44660,0.50557 * best *
2,0.49036,0.50383 
3,0.51435,0.53727 * best *
4,0.53468,0.56461 * best *
5,0.54234,0.55190 
6,0.55062,0.55869 
7,0.55697,0.57593 * best *
8,0.56041,0.57837 * best *
9,0.57395,0.58447 * best *
10,0.57465,0.59544 * best *
11,0.58031,0.58986 
12,0.58867,0.59004 
13,0.58649,0.58220 
14,0.59398,0.59822 * best *
15,0.59063,0.59561 
16,0.59760,0.58865 
17,0.59886,0.59683 
18,0.60378,0.60519 * best *
19,0.60570,0.59596 
20,0.60700,0.60954 * best *
21,0.61192,0.60641 
22,0.61388,0.60031 
23,0.61445,0.60327 
24,0.61540,0.60763 
25,0.61763,0.60937 
26,0.61810,0.61094 * best *
27,0.62224,0.60502 
28,0.62337,0.59944 
29,0.62507,0.60101 
30,0.62450,0.60484 
31,0.62903,0.62017 * best *
32,0.62298,0.60327 
33,0.63165,0.60014 
34,0.62760,0.60258 
35,0.63043,0.61407 
36,0.62960,0.60589 
37,0.62964,0.61338 
38,0.63221,0.61303 
39,0.63086,0.62139 * best *
